name,series_id
  Total Nonfarm Private Payroll Employment,NPPTTL
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Mid-Tier",CROASMIDTIER
  AD&Co US Mortgage High Yield Index: Tier 3,CRTINDEXTIER3
"  Number At Work 1-34 Hours, Usually Work Part Time Noneconomic Reasons",LNS12005977
"  Employment Level - Part-Time for Economic Reasons, Could Only Find Part-Time Work, All Industries",LNS12032196
  Unemployment Level - New Entrants,LNS13023569
"  Medical Services Expenditures by Disease: Other Price Index, Blended Account Basis",DISOTHPIBLEND
"  Medical Services Expenditures by Disease: Diseases of the Respiratory System Price Index, Blended Account Basis",DIRESYPIBLEND
  Total Cotton Production by Mills in New England,CPNETOTAL
  Cotton Production by Suffolk Mill,CPNESUFFOLK
  Cotton Production by Tremont Mill,CPNETREMONT
  Share of Foreign Born in Home Owners Loan Corporation (HOLC) Neighborhood B,RLMSHFBHOLCNB
  Home Ownership Rate in Home Owners Loan Corporation (HOLC) Neighborhood D,RLMSHHORHOLCND
"  Average Weekly Earnings of Production and Nonsupervisory Employees, Leisure and Hospitality",CES7000000030
"  Indexes of Aggregate Weekly Payrolls of Production and Nonsupervisory Employees, Leisure and Hospitality",CES7000000035
"  Production and Nonsupervisory Employees, Leisure and Hospitality",CES7000000006
"  Indexes of Aggregate Weekly Hours of All Employees, Leisure and Hospitality",CES7000000016
"  Employment Cost Index: Total compensation for Private industry workers in Management, professional, and related",CIU2010000100000I
  Employment Cost Index: Total compensation for Private industry workers in Aircraft manufacturing,CIS2013211000000I
  Broad Money for Zimbabwe,ZWEFMBGDPPT
  Real Gross Domestic Product for Zimbabwe,ZWENGDPRPCPPPT
  Stock Market Total Value Traded to GDP for Zimbabwe,DDDM02ZWA156NWDB
  Consumer Price Index for Zambia,DDOE02ZMA086NWDB
  Consolidated Foreign Claims of BIS-Reporting Banks to GDP for Zambia,DDOI12ZMA156NWDB
  Ease of doing business index for Zambia,ICBUSEASEXQZMB
"  Use of Financial Services, Mobile Banking: Number of Mobile Money Transactions (during the Reference Year) for Zambia",ZMBFCMTNUM
  Financial System Deposits to GDP for Zambia,DDDI08ZMA156NWDB
  Gross Debt Position of the General Government for Zambia,ZMBGGXWDGG01GDPPT
  Internet users for Zambia,ITNETUSERP2ZMB
  Broad Money for Zambia,ZMBFMBGDPPT
  Bank's Return on Equity for Zambia,DDEI06ZMA156NWDB
  Stock Market Turnover Ratio (Value Traded/Capitalization) for Zambia,DDEM01ZMA156NWDB
  Pension Fund Assets to GDP for Zambia,DDDI13ZMA156NWDB
"  Geographical Outreach: Key Indicators, All MFI Branches Per 100,000 Adults for Zambia",ZMBFCBODMFANUM
  Real Effective Exchange Rate as Based on Consumer Price Index for Zambia,ZMBEREERIX
"  Use of Financial Services, Mobile Banking: Active Number of Mobile Money Accounts for Zambia",ZMBFCMAANUM
  Cash surplus/deficit (% of GDP) for Zambia,CASHBLZMA188A
  Number of Bank Branches for Zambia,DDAI02ZMA643NWDB
  Percentage of Foreign Bank Assets Among Total Bank Assets for Zambia,DDOI14ZMA156NWDB
  Gross Domestic Product for Viet Nam,MKTGDPVNA646NWDB
  Bank's Return on Assets for Viet Nam,DDEI05VNA156NWDB
  Number of Identified Exporters to Vietnam from Texas,TXVNMA475SCEN
  Internet users for Viet Nam,ITNETUSERP2VNM
  German Intervention: Bundesbank Purchases in EMS Markets (Millions of DEM) (DISCONTINUED),DEINTDEMS
"  Loans from Non-Resident Banks, Net, to GDP for Viet Nam",DDOI08VNA156NWDB
"  Italian Intervention: Banca d'Italia Purchases of Foreign Exchange (Millions of ECU's, Euros after 1999) (DISCONTINUED)",ITINTDRES
  Japan Intervention: Japanese Bank purchases of USD against Rupiah,JPINTDUSDRP
  Swiss Intervention: Swiss National Bank Purchases of USD against DEM (Millions of USD),CHINTDUSDDM
  Swiss Intervention: Swiss National Bank Purchases of USD against JPY (Millions of USD),CHINTDUSDJPY
  German Intervention: Bundesbank Purchases on the Dollar/D-Mark (Millions of DEM) (DISCONTINUED),DEINTDUSDDM
  Swiss Intervention: Swiss National Bank Purchases of DEM against CHF (Millions of DEM),CHINTDCHFDM
  U.S. Intervention: With-Customer Transactions in Other Currencies (Millions of USD),USINTDCSOTH
  Australian Bank Transactions: RBA Spot and Forward Transactions: Net with Government and other Counterparties (AUD Millions),AUINTDGT
  U.S. Intervention: With-Customer Transactions in the DEM/USD (Euro since 1999) (Millions of USD),USINTDCSDM
  Japan Intervention: Japanese Bank purchases of USD against DM,JPINTDEXR
  Australian Bank Transactions: RBA Spot and Forward Transactions: Net with Dealers (AUD Millions),AUINTDDL
  Japan Intervention: Japanese Bank purchases of DM/Euro against JPY,JPINTDDMEJPY
  U.S. Intervention: With-Customer Transactions in the JPY/USD (Millions of USD),USINTDCSJPY
  U.S. Intervention: in Market Transactions in the DEM/USD (Euro since 1999) (Millions of USD),USINTDMRKTDM
  Swiss Intervention: Swiss National Bank Purchases of USD against CHF (Millions of USD),CHINTDCHFUSD
  U.S. Intervention: in Market Transactions in the JPY/USD (Millions of USD),USINTDMRKTJPY
  U.S. Intervention: in Market Transactions in Other Currencies (Millions of USD),USINTDMRKTOTH
  Japan Intervention: Japanese Bank purchases of USD against JPY,JPINTDUSDJPY
  Mexican Intervention: Banco de Mexico Purchases of USD against MXN (Millions of USD),MEXINTDUSD
  Turkish Intervention: Central Bank of Turkey Purchases of USD (Millions of USD),TRINTDEXR
  National Accounts: Gross Domestic Product for Vietnam,VNMNGDPDUSD
  Population ages 65 and above for Viet Nam,SPPOP65UPTOZSVNM
  People 15 Years and Over Borrowing from a Financial Institution in the Past Year for Viet Nam,DDAI07VNA156NWDB
"  Literacy Rate, Adult Total for Viet Nam",SEADTLITRZSVNM
  Private Credit by Deposit Money Banks and Other Financial Institutions to GDP for Viet Nam,DDDI12VNA156NWDB
  Fiscal Situation of General Government: Gross Debt Position for Vietnam,VNMGGXWDGG01GDPPT
  Lerner Index in Banking Market for Viet Nam,DDOI04VNA066NWDB
  Bank's Cost to Income Ratio for Viet Nam,DDEI07VNA156NWDB
"  Amount Outstanding of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Nationality of Issuer in Vietnam (DISCONTINUED)",IDSGBAMNIAOVN
  Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets for Viet Nam,DDDI04VNA156NWDB
  Private Credit by Deposit Money Banks to GDP for Viet Nam,DDDI01VNA156NWDB
  U.S. Exports of Goods by F.A.S. Basis to Vietnam,EXP5520
  Gross National Income for Viet Nam,MKTGNIVNA646NWDB
  Fiscal Situation of General Government: Net Lending/borrowing for Vietnam,VNMGGXCNLG01GDPPT
  Bank's Non-Interest Income to Total Income for Viet Nam,DDEI03VNA156NWDB
  Mutual Fund Assets to GDP for Viet Nam,DDDI07VNA156NWDB
"  Net Issues of International Debt Securities for All Issuers, All Maturities, Residence of Issuer in Vietnam",IDSAMRINIVN
  External Trade: Volume of Imports of Goods and Services for Vietnam,VNMTMRPCPPPT
  Remittance Inflows to GDP for Viet Nam,DDOI11VNA156NWDB
  Number of Bank Branches for Viet Nam,DDAI02VNA643NWDB
  Stock Market Total Value Traded to GDP for Viet Nam,DDDM02VNA156NWDB
  Bank's Net Interest Margin for Viet Nam,DDEI01VNA156NWDB
  Non-Life Insurance Premium Volume to GDP for Viet Nam,DDDI10VNA156NWDB
  Percentage of Foreign Bank Assets Among Total Bank Assets for Viet Nam,DDOI14VNA156NWDB
  Stock Market Capitalization to GDP for Viet Nam,DDDM01VNA156NWDB
  Number of Listed Companies for Viet Nam,DDOM01VNA644NWDB
  Bank's Return on Equity for Viet Nam,DDEI06VNA156NWDB
  Central Bank Assets to GDP for Viet Nam,DDDI06VNA156NWDB
  Bank Deposits to GDP for Viet Nam,DDOI02VNA156NWDB
"  Fertility Rate, Total for Viet Nam",SPDYNTFRTINVNM
  National Accounts: Real Gross Domestic Product for Vietnam,VNMNGDPRPCPPPT
  U.S. Imports of Goods by Customs Basis from Vietnam,IMP5520
  Volatility of Stock Price Index for Viet Nam,DDSM01VNA066NWDB
  Consumer Price Index for Viet Nam,DDOE02VNA086NWDB
  Gross Domestic Product Per Capita for Viet Nam,PCAGDPVNA646NWDB
  External Trade: Volume of Exports of Goods and Services for Vietnam,VNMTXRPCPPPT
"  Population, Total for Viet Nam",POPTOTVNA647NWDB
  Bank Z-Score for Viet Nam,DDSI01VNA645NWDB
  Constant GDP per capita for Viet Nam,NYGDPPCAPKDVNM
  Prices: Consumer Price Index for Vietnam,VNMPCPIPCPPPT
"  Inflation, consumer prices for Viet Nam",FPCPITOTLZGVNM
  Net Lending/borrowing of General Government for Zambia,ZMBGGXCNLG01GDPPT
  Balance of Payments: Total Net Current Account for Vietnam,VNMBCAGDPBP6PT
"  Fertility Rate, Total for Zambia",SPDYNTFRTINZMB
"  Geographical Outreach: Number of Automated Teller Machines (ATMs), Country Wide for Zambia",ZMBFCACNUM
