name,series_id
  CBOE Volatility Index: VIX,VIXCLS
  CBOE Equity VIX on IBM,VXIBMCLS
  CBOE Equity VIX on Goldman Sachs,VXGSCLS
  CBOE Equity VIX on Apple,VXAPLCLS
  CBOE Equity VIX on Amazon,VXAZNCLS
  CBOE Equity VIX on Google,VXGOGCLS
  CBOE Brazil ETF Volatility Index,VXEWZCLS
  CBOE Gold Miners ETF Volatility Index (DISCONTINUED),VXGDXCLS
  CBOE Silver ETF Volatility Index (DISCONTINUED),VXSLVCLS
  CBOE EuroCurrency ETF Volatility Index,EVZCLS
  CBOE DJIA Volatility Index,VXDCLS
  CBOE Energy Sector ETF Volatility Index (DISCONTINUED),VXXLECLS
  CBOE Emerging Markets ETF Volatility Index,VXEEMCLS
  S&P 500,SP500
  CBOE NASDAQ 100 Volatility Index,VXNCLS
  CBOE Russell 2000 Volatility Index,RVXCLS
  Contributions to the Chicago Fed Midwest Economy Index: Manufacturing Contribution,MANUFACTURINGM683SFRBCHI
  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Income (Loss) After Income Taxes,QFR115MFGUSNO
"  Quarterly Financial Report: U.S. Corporations: All Information: Short-Term Debt, Original Maturity of 1 Year or Less: Other Short-Term Loans, Including Commercial Paper",QFRD304INFUSNO
"  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Long-Term Debt, Due in More Than 1 Year: Loans from Banks",QFR316MFGUSNO
  Quarterly Financial Report: U.S. Corporations: All Retail Trade: Total Assets,QFR223RETUSNO
  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Total Cash on Hand and in U.S. Banks,QFRTCASHMFGUSNO
  Quarterly Financial Report: U.S. Corporations: All Retail Trade: Cash and Demand Deposits in the U.S.,QFR201RETUSNO
"  Quarterly Financial Report: U.S. Corporations: Motor Vehicles and Parts: Short-Term Debt, Original Maturity of 1 Year or Less: Loans from Banks",QFR301376USNO
"  Quarterly Financial Report: U.S. Corporations: All Information: Net Sales, Receipts, and Operating Revenues",QFR101INFUSNO
"  Quarterly Financial Report: U.S. Corporations: All Information: Long-Term Debt, Due in More Than 1 Year: Loans from Banks",QFR316INFUSNO
  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Capital Stock and Other Capital (Less Treasury Stock),QFRD326MFGUSNO
  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Total Assets,QFR223MFGUSNO
"  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Short-Term Debt, Original Maturity of 1 Year or Less: Loans from Banks",QFR301MFGUSNO
  Quarterly Financial Report: U.S. Corporations: All Manufacturing: Net Working Capital,QFRNWCMFGUSNO
  Quarterly Financial Report: U.S. Corporations: Clothing and General Merchandise Stores: All Other Operating Costs and Expenses,QFR103448USNO
  Quarterly Financial Report: U.S. Corporations: All Information: Interest Expense,QFR105INFUSNO
"  Quarterly Financial Report: U.S. Corporations: All Information: Current Portion of Long-Term Debt, Due in 1 Year or Less: Other Long-Term Loans",QFRD313INFUSNO
"  Chicago Fed National Activity Index: Employment, Unemployment and Hours",EUANDH
"  Chicago Fed National Activity Index: Sales, Orders and Inventories",SOANDI
  Contributions to the Cleveland Financial Stress Index: Treasury Yield Curve Spread (DISCONTINUED),TYCSD678FRBCLE
  Quarterly Financial Report: U.S. Corporations: All Retail Trade: Total Cash on Hand and in U.S. Banks,QFRTCASHRETUSNO
"  Quarterly Financial Report: U.S. Corporations: All Retail Trade: Net Sales, Receipts, and Operating Revenues",QFR101RETUSNO
  Cleveland Financial Stress Index (DISCONTINUED),CFSI
"  Quarterly Financial Report: U.S. Corporations: Pharmaceuticals and Medicines: Net Sales, Receipts, and Operating Revenues",QFR101385USNO
